Investigation_number,Investigation_title,country,Date Instituted,Staff Conference,Preliminary Determination,pub_no,hearing_date,Final Determination,pub_no
731-TA-747,Fresh Tomatoes,Mexico,04-01-96,04-22-96,Affirmative,2967,10-24-19,Affirmative,5003
701-TA-605,Glycine,Thailand,03-28-18,04-18-18,Affirmative,4786,04-30-19,Terminated,4900
731-TA-1415,Glycine,Thailand,03-28-18,04-18-18,Affirmative,4786,04-30-19,Affirmative,4977
731-TA-1422,Strontium Chromate,Austria,09-05-18,09-26-18,Affirmative,4836,10-03-19,Affirmative,4992
731-TA-1423,Strontium Chromate,France,09-05-18,09-26-18,Affirmative,4836,10-03-19,Affirmative,4992
731-TA-1424,Mattresses,China,09-18-18,10-09-18,Affirmative,4842,10-15-19,Affirmative,5000
701-TA-610,Refillable Stainless Steel Kegs,China,10-05-17,10-11-18,Affirmative,4844,08-14-19,Affirmative,5002
731-TA-1425,Refillable Stainless Steel Kegs,China,09-20-18,10-11-18,Affirmative,4844,08-14-19,Affirmative,5002
731-TA-1426,Refillable Stainless Steel Kegs,Germany,09-20-18,10-11-18,Affirmative,4844,08-14-19,Affirmative,5002
731-TA-1427,Refillable Stainless Steel Kegs,Mexico,09-20-18,10-11-18,Affirmative,4844,08-14-19,Affirmative,4976
701-TA-611,Aluminum Wire and Cable,China,09-28-18,10-12-18,Affirmative,4843,10-17-19,Affirmative,5001
731-TA-1428,Aluminum Wire and Cable,China,09-28-18,10-12-18,Affirmative,4843,10-17-19,Affirmative,5001
701-TA-612,Polyester Textured Yarn,China,10-18-18,11-08-18,Affirmative,4858,11-13-19,Affirmative,5007
701-TA-613,Polyester Textured Yarn,India,10-18-18,11-08-18,Affirmative,4858,11-13-19,Affirmative,5007
731-TA-1430,Polyester Textured Yarn,India,10-18-18,11-08-18,Affirmative,4858,11-13-19,Affirmative,5007
701-TA-614,Magnesium,Israel,10-24-18,11-14-18,Affirmative,4860,11-21-19,Negative,5009
731-TA-1431,Magnesium,Israel,10-24-18,11-14-18,Affirmative,4860,11-21-19,Negative,5009
701-TA-615,Fabricated Structural Steel,Canada,02-04-19,02-25-19,Affirmative,4878,01-28-20,Terminated,5031
701-TA-616,Fabricated Structural Steel,China,02-04-19,02-25-19,Affirmative,4878,01-28-20,Negative,5031
701-TA-617,Fabricated Structural Steel,Mexico,02-04-19,02-25-19,Affirmative,4878,01-28-20,Negative,5031
731-TA-1432,Fabricated Structural Steel,Canada,02-04-19,02-25-19,Affirmative,4878,01-28-20,Negative,5031
731-TA-1433,Fabricated Structural Steel,China,02-04-19,02-25-19,Affirmative,4878,01-28-20,Negative,5031
731-TA-1434,Fabricated Structural Steel,Mexico,02-04-19,02-25-19,Affirmative,4878,01-28-20,Negative,5031
701-TA-618,Carbon and Alloy Steel Threaded Rod,China,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,5040
701-TA-619,Carbon and Alloy Steel Threaded Rod,India,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,5040
731-TA-1441,Carbon and Alloy Steel Threaded Rod,China,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,5040
731-TA-1442,Carbon and Alloy Steel Threaded Rod,India,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,5040
731-TA-1443,Carbon and Alloy Steel Threaded Rod,Taiwan,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,5013
731-TA-1444,Carbon and Alloy Steel Threaded Rod,Thailand,02-21-19,03-14-19,Affirmative,4885,10-15-19,Affirmative,4998
731-TA-1435,Acetone,Belgium,02-22-19,03-12-19,Affirmative,4884,10-21-19,Affirmative,4997
731-TA-1436,Acetone,Korea,02-22-19,03-12-19,Affirmative,4884,10-21-19,Affirmative,4997
731-TA-1438,Acetone,Singapore,02-22-19,03-12-19,Affirmative,4884,10-21-19,Affirmative,5038
731-TA-1439,Acetone,South Africa,03-07-18,03-12-19,Affirmative,4884,10-21-19,Affirmative,4997
731-TA-1440,Acetone,Spain,02-22-19,03-12-19,Affirmative,4884,10-21-19,Affirmative,5038
701-TA-620,Wooden Cabinets and Vanities,China,03-06-19,03-27-19,Affirmative,4891,02-20-20,Affirmative,5042
731-TA-1445,Wooden Cabinets and Vanities,China,03-06-19,03-27-19,Affirmative,4891,02-20-20,Affirmative,5042
731-TA-1446,Sodium Sulfate Anhydrous,Canada,03-28-19,04-18-19,Affirmative,4895,03-19-20,Negative,5050
701-TA-621,Ceramic Tile,China,04-10-19,05-01-19,Affirmative,4989,04-02-20,Affirmative,5053
731-TA-1447,Ceramic Tile,China,04-10-19,05-01-19,Affirmative,4989,04-02-20,Affirmative,5053
701-TA-622,Dried Tart Cherries,Turkey,04-23-19,05-14-19,Affirmative,4902,12-03-19,Negative,5014
731-TA-1448,Dried Tart Cherries,Turkey,04-23-19,05-14-19,Affirmative,4902,12-03-19,Negative,5014
701-TA-623,Vertical Metal File Cabinets,China,04-30-19,05-21-19,Affirmative,4914,10-08-19,Affirmative,4995
731-TA-1449,Vertical Metal File Cabinets,China,04-30-19,05-21-19,Affirmative,4914,10-08-19,Affirmative,4995
701-TA-624,Quartz Surface Products,India,05-08-19,05-29-19,Affirmative,4919,04-29-20,Affirmative,5061
701-TA-625,Quartz Surface Products,Turkey,05-08-19,05-29-19,Affirmative,4919,04-29-20,Affirmative,5061
731-TA-1450,Quartz Surface Products,India,05-08-19,05-29-19,Affirmative,4919,04-29-20,Affirmative,5061
731-TA-1451,Quartz Surface Products,Turkey,05-08-19,05-29-19,Affirmative,4919,04-29-20,Affirmative,5061
701-TA-626,Certain Collated Steel Staples,China,06-10-19,06-27-19,Affirmative,4939,05-27-20,Affirmative,5085
731-TA-1452,Certain Collated Steel Staples,China,06-10-19,06-27-19,Affirmative,4939,05-27-20,Affirmative,5085
701-TA-627,Utility Scale Wind Towers,Canada,07-09-19,07-30-19,Affirmative,4952,06-25-20,Affirmative,5101
701-TA-628,Utility Scale Wind Towers,Indonesia,07-09-19,07-30-19,Affirmative,4952,06-25-20,Affirmative,5101
701-TA-629,Utility Scale Wind Towers,Vietnam,07-09-19,07-30-19,Affirmative,4952,06-25-20,Affirmative,5101
