Product_ID,Product_Name,Product_Type
11,"1,1,1,2-Tetrafluoroethane ",
12,"1,1,1,2-Tetrafluoroethane (R-134A) ",
13,100- To 150-Seat Large Civil Aircraft ,
14,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (“Hedp”) ",
15,4Th Tier Cigarettes ,
16,53-Foot Domestic Dry Containers ,
17,Acetone ,
18,Aluminum Foil ,
19,Aluminum Wire And Cable ,
20,Ammonium Sulfate ,
21,Biodiesel ,
22,Boltless Steel Shelving Units Prepackaged For Sale ,
23,Calcium Hypochlorite ,
24,Carbon And Alloy Steel Cut-To-Length Plate ,
25,Carbon And Alloy Steel Threaded Rod ,
26,Carbon And Certain Alloy Steel Wire Rod ,
27,Carton-Closing Staples ,
28,Cast Iron Soil Pipe ,
29,Cast Iron Soil Pipe Fittings ,
30,Certain Amorphous Silica Fabric ,
31,Certain Biaxial Integral Geogrid Products ,
32,Certain Collated Steel Staples ,
33,Certain Corrosion-Resistant Steel Products ,
34,Certain Crystalline Silicon Photovoltaic Products ,
35,Certain Hot-Rolled Steel Flat Products ,
36,Certain Mobile Access Equipment And Subassemblies Thereof ,
37,Certain New Pneumatic Off‐The‐Road Tires ,
38,Certain Oil Country Tubular Goods ,
39,Certain Passenger Vehicle And Light Truck Tires ,
40,Certain Steel Nails ,
41,Certain Uncoated Paper ,
42,Certain Welded Line Pipe ,
43,Chassis And Subassemblies ,
44,Chlorinated Isocyanurates ,
45,Circular Welded Carbon-Quality Steel Pipe ,
46,Citric Acid And Certain Citrate Salts ,
47,Cold-Drawn Mechanical Tubing ,
48,Cold-Rolled Steel Flat Products ,
49,Common Alloy Aluminum Sheet ,
50,Corrosion Inhibitors ,
51,Crystalline Silicon Photovoltaic Cells And Modules ,
52,"Diffusion‐Annealed, Nickel‐Plated Flat‐Rolled Steel Products ",
53,Difluoromethane (R-32) ,
54,Dioctyl Terephthalate (Dotp) ,
55,Dra Wn Stainless Steel Sinks ,
56,Dried Tart Cherries ,
57,Emulsion Styrene-Butadiene Rubber ,
58,Fabricated Structural Steel ,
59,Ferrosilicon ,
60,Ferrovanadium ,
61,Fine Denier Polyester Staple Fiber ,
62,Finished Carbon Steel Flanges ,
63,Fluid End Blocks ,
64,Forged Steel Fittings ,
65,Fresh Tomatoes ,
66,Frozen Warmwater Shrimp ,
67,Glass Containers ,
68,Glycine ,
69,Grain-Oriented Electrical Steel ,
70,Granular Polytetrafluoroethylene (Ptfe) Resin ,
71,Hardwood Plywood ,
72,Heavy Walled Rectangular Welded Carbon Steel Pipes And Tubes ,
73,High Pressure Steel Cylinders ,
74,Hydrofluorocarbon Blends And Components ,
75,Laminated Woven Sacks ,
76,Large Diameter Welded Pipe ,
77,Large Power Transformers ,
78,Large Residential Washers ,
79,Low Melt Polyester Staple Fiber ,
80,Magnesium ,
81,Mattresses ,
82,Melamine ,
83,Metal Lockers ,
84,Methionine ,
85,Monosodium Glutamate ,
86,Non-Oriented Electrical Steel ,
87,Non-Refillable Steel Cylinders ,
88,Organic Soybean Meal ,
89,Passenger Vehicle And Light Truck Tires ,
90,Pentafluoroethane (R-125) ,
91,Phosphate Fertilizers ,
92,Phosphor Copper ,
93,Plastic Decorative Ribbon ,
94,Polyester Textured Yarn ,
95,Polyethylene Terephthalate (Pet) Sheet ,
96,Polyethylene Terephthalate Resin ,
97,Polytetrafluoroethylene (Ptfe) Resin ,
98,Polytetrafluoroethylene Resin ,
99,Prestressed Concrete Steel Rail Tie Wire ,
100,Prestressed Concrete Steel Wire Strand ,
101,Quartz Surface Products ,
102,Raw Honey ,
103,Refillable Stainless Steel Kegs ,
104,Ripe Olives ,
105,Rubber Bands ,
106,"Seamless Carbon And Alloy Steel Standard, Line, And Pressure Pipe ",
107,Seamless Refined Copper Pipe And Tube ,
108,Silica Bricks And Shapes ,
109,Silicomanganese ,
110,Silicon Metal ,
111,Small Vertical Shaft Engines ,
112,"Sodium Gluconate, Gluconic Acid, And Derivative Products ",
113,Sodium Sulfate Anhydrous ,
114,Softwood Lumber Products ,
115,Stainless Steel Flanges ,
116,Stainless Steel Sheet And Strip ,
117,Standard Steel Welded Wire Mesh ,
118,Steel Concrete Reinforcing Bar ,
119,Steel Propane Cylinders ,
120,Steel Racks ,
121,Steel Trailer Wheels ,
122,Steel Wheels ,
123,Steel Wire Garment Hangers ,
124,Strontium Chromate ,
125,Sugar ,
126,Supercalendered Paper ,
127,Tapered Roller Bearings ,
128,Thermal Paper ,
129,Tool Chests And Cabinets ,
130,Truck And Bus Tires ,
131,Twist Ties ,
132,Ultra-High Molecular Weight Polyethylene ,
133,Uncoated Groundwood Paper ,
134,Utility Scale Wind Towers ,
135,Vertical Metal File Cabinets ,
136,Walk-Behind Lawn Mowers ,
137,Walk-Behind Snow Throwers ,
138,Wood Mouldings And Millwork Products ,
139,Wooden Cabinets And Vanities ,
140,Xanthan Gum ,
