investigation_number,staff_assigned
731-TA-1446,"Keysha Martinez; Investigator
Hugh Smachlo; Investigator
Samuel Goodman; Industry Analyst
Amelia Preece; Economist
David Boyland; Accountant
Shova KC; Statistician
Henry Smith; Attorney
Elizabeth Haines; Supervisory Investigator"
731-TA-1438,"Abu B. Kanu; Investigator
Elizabeth Nesbitt; Industry Analyst
Cindy E. Cohen; Economist
Samuel Varela-Molina; Accountant
Laura Thayn; Statistician
Kelsey Christensen; Attorney
Nathaniel Comley; Supervisory Investigator"
731-TA-1445,"Ahdia Bavari; Investigator
Calvin Chang; Investigator
Robert Ireland; Industry Analyst
Craig Thomsen; Economist
Jennifer Brinckhaus; Accountant
Zachary Coughlin; Statistician
Brian Soiset; Attorney
Elizabeth Haines; Supervisory Investigator"
