hs_code,hs_description
0101210010,"HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE"
0101210020,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE"
0101290010,"HORSES, FOR IMMEDIATE SLAUGHTER, LIVE, NESOI"
0101290090,"HORSES, LIVE, NESOI"
0101300000,"ASSES, LIVE"
0101903000,"MULES AND HINNIES, FOR IMMEDIATE SLAUGHTER, LIVE"
0101904000,"MULES AND HINNIES, LIVE, NESOI"
0102210010,"BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE"
0102210020,"BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE"
0102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY"
0102210050,"CATTLE, PUREBRED BREEDING FEMALE, LIVE, EXC DAIRY"
0102292011,"COWS, DAIRY, LT 90 KG EA, LIVE, NESOI"
0102292012,"COWS, DAIRY, GT=90 KG EA, LIVE, NESOI"
0102294024,"CATTLE, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI"
0102294028,"CATTLE, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI"
0102294034,"CATTLE, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI"
0102294038,"CATTLE, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI"
0102294054,"CATTLE, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI"
0102294058,"CATTLE, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI"
0102294062,"STEERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG, NESOI"
0102294064,"BULLS, LIVE, IMMEDIATE SLAUGHTER, GT=320 KG NESOI"
0102294066,"COWS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG EA NESOI"
0102294068,"HEIFERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG NESOI"
0102294072,"CATTLE, LIVE, FOR BREEDING MALE GT=320 KG EA NESOI"
0102294074,"CATTLE, LIVE, BREEDING, FEMALE, GT=320 KG EA NESOI"
0102294082,"CATTLE, LIVE, MALE, WEIGHING GT=320 KG EACH, NESOI"
0102294084,"CATTLE, LIVE, FEMALE, WEIGHING GT=320 KG EA, NESOI"
